acc_no,cons_cost,office_cd,cntr_pwr,sply_tpcd
477420193243,11598900,AAAA,5,1
477420193349,23535217,AAAA,3,1
477420193827,5362339,AAAA,3,1
477420194090,19049767,AAAA,3,1
477420203270,4170650,AAAA,3,1
477420203272,3132017,AAAA,3,1
477420203306,16941740,AAAA,5,1
477420203444,2585476,AAAA,3,1
477420203447,4302056,AAAA,3,1
477420203582,7424647,AAAA,5,1
477420203601,4280339,AAAA,3,1
477420203607,2478390,AAAA,5,1
477420203624,20159268,AAAA,3,1
477420203628,24272861,AAAA,3,1
477420203648,3043716,AAAA,6,1
477420203661,6754524,AAAA,5,1
477420203664,19943503,AAAA,5,1
477420203712,13686684,AAAA,5,1
477420203717,6122625,AAAA,3,1
477420203753,16154833,AAAA,3,1
477420203755,4903697,AAAA,5,1
477420203783,8877384,AAAA,3,1
477420203788,2141151,AAAA,3,1
477420203790,2204883,AAAA,3,1
477420203808,2842549,AAAA,3,1
477420203820,3150844,AAAA,3,1
477420203821,8187319,AAAA,25,1
477420203825,2647053,AAAA,17,1
477420203826,13305225,AAAA,5,1
477420203831,5551225,AAAA,3,1
477420203833,6617154,AAAA,3,1
477420203838,2329010,AAAA,5,1
477420203839,2380912,AAAA,3,1
477420203842,14069937,AAAA,3,1
477420203845,29581735,AAAA,3,1
477420203858,5699687,AAAA,5,1
477420203859,24296466,AAAA,5,1
477420203860,7756494,AAAA,5,1
477420203862,5800272,AAAA,1,1
477420203875,2290568,AAAA,3,1
477420203878,2257555,AAAA,3,1
477420203901,2215315,AAAA,5,1
477420203910,3795476,AAAA,3,1
477420203985,9203177,AAAA,3,1
477420203989,6121162,AAAA,3,1
477420203993,2375543,AAAA,5,1
477420204001,12768340,AAAA,4,1
477420204013,1771932,AAAA,5,1
477420204015,2353201,AAAA,3,1
477420204016,5008771,AAAA,3,1
477420204019,3320016,AAAA,14,1
477420204027,9199402,AAAA,5,1
477420204030,3412672,AAAA,3,1
477420204037,19754291,AAAA,10,1
477420204040,24766365,AAAA,10,1
477420204053,3370758,AAAA,3,1
477420204065,2922061,AAAA,5,1
477420204068,2174715,AAAA,3,1
477420204085,2040061,AAAA,4,1
477420204092,7009709,AAAA,5,1
477420204093,12785975,AAAA,3,1
477420204096,2004209,AAAA,3,1
477420204098,2615991,AAAA,5,1
477420204108,5359405,AAAA,5,1
477420204109,6560048,AAAA,3,1
477420204111,8468717,AAAA,40,1
477420204117,6606609,AAAA,5,1
477420204120,2477924,AAAA,3,1
477420204121,2658712,AAAA,3,1
477420204122,3837941,AAAA,3,1
477420204123,3213775,AAAA,3,1
477420204124,3761007,AAAA,3,1
477420204130,2751810,AAAA,3,1
477420204131,3277618,AAAA,5,1
477420204133,3813387,AAAA,5,1
477420204141,9885117,AAAA,15,1
477420204142,3938013,AAAA,5,1
477420204144,1865498,AAAA,3,1
477420204146,4278934,AAAA,3,1
477420204153,2183923,AAAA,5,1
477420204165,5967766,AAAA,3,1
477420204166,7538634,AAAA,3,1
477420204168,2535880,AAAA,3,1
477420204169,18140562,AAAA,5,1
477420204187,11237517,AAAA,3,1
477420204192,3389011,AAAA,3,1
477420204193,3442965,AAAA,5,1
477420204194,9076645,AAAA,3,1
477420204197,10108834,AAAA,3,1
477420204209,4140414,AAAA,5,1
477420204211,3220328,AAAA,3,1
477420204212,16356503,AAAA,1,1
477420204214,3813724,AAAA,1,1
477420204219,5593364,AAAA,5,1
477420204227,8043976,AAAA,3,1
477420204229,10005000,AAAA,1,1
477420204236,2063775,AAAA,3,1
477420204244,10477338,AAAA,1,1
477420204255,12201758,AAAA,5,1
477420204256,24498765,AAAA,3,1
477420204260,3353654,AAAA,1,1
477420204263,5302019,AAAA,3,1
477420204266,29067870,AAAA,3,1
477420204269,4435788,AAAA,3,1
477420204278,1716160,AAAA,5,1
477420204279,2386657,AAAA,5,1
477420204281,14031387,AAAA,5,1
477420204282,1976785,AAAA,5,1
477420204284,2937242,AAAA,3,1
477420204310,7888323,AAAA,3,1
477420204315,7359918,AAAA,30,1
477420204317,11731543,AAAA,10,1
477420204318,2480922,AAAA,3,1
477420204323,1064580,AAAA,5,1
477420204326,2322457,AAAA,3,1
477420204327,2581804,AAAA,3,1
477420204328,28148583,AAAA,5,1
477420204331,3575639,AAAA,5,1
477420204333,3015669,AAAA,1,1
477420204337,17600720,AAAA,3,1
477420213004,3167619,AAAA,3,1
477420213016,8098630,AAAA,3,1
477420213018,5266808,AAAA,10,1
477420213019,8049521,AAAA,5,1
477420213029,4596922,AAAA,3,1
477420213041,2325770,AAAA,3,1
477420213056,6501332,AAAA,3,1
477420213068,5668986,AAAA,5,1
477420213088,3178825,AAAA,1,1
477420213093,3772850,AAAA,1,1
477420213097,2511898,AAAA,3,1
477420213098,2769360,AAAA,5,1
477420213101,4085064,AAAA,5,1
477420213104,5684147,AAAA,3,1
477420213138,2074674,AAAA,5,1
477420213139,2668533,AAAA,3,1
477420213140,2622730,AAAA,3,1
477420213141,5241940,AAAA,15,1
477420213162,3844034,AAAA,3,1
477420213163,2459546,AAAA,5,1
477420213164,1808656,AAAA,5,1
477420213182,2890347,AAAA,5,1
477420213192,4619559,AAAA,1,1
477420213193,4081193,AAAA,3,1
477420213195,3918077,AAAA,3,1
477420213196,2597240,AAAA,5,1
477420213199,4482317,AAAA,3,1
477420213206,11324927,AAAA,5,1
477420213212,2758740,AAAA,5,1
477420213216,6353327,AAAA,3,1
477420213220,2593943,AAAA,3,1
477420213227,2831506,AAAA,5,1
477420213228,2053539,AAAA,3,1
477420213232,3989130,AAAA,5,1
477420213233,3854273,AAAA,5,1
477420213239,4794594,AAAA,3,1
477420213250,8156103,AAAA,5,1
477420213251,7413575,AAAA,3,1
477420213252,2048379,AAAA,5,1
477420213260,4624747,AAAA,3,1
477420213261,3339691,AAAA,3,1
477420213264,7616655,AAAA,3,1
477420213265,2273683,AAAA,3,1
477420213266,3227050,AAAA,5,1
477420213276,1773578,AAAA,6,1
477420213277,2515250,AAAA,5,1
477420213284,10762108,AAAA,5,1
477420213285,12064104,AAAA,3,1
477420213298,3898619,AAAA,3,1
477420213299,3926715,AAAA,5,1
477420213300,13935672,AAAA,5,1
477420213301,13258272,AAAA,3,1
477420213302,9013194,AAAA,3,1
477420213320,5251643,AAAA,3,1
477420213322,4552001,AAAA,5,1
477420213323,4829395,AAAA,3,1
477420213324,21317296,AAAA,3,1
477420213325,10595145,AAAA,3,1
477420213326,2370212,AAAA,5,1
477420213327,10481363,AAAA,3,1
477420213331,21182366,AAAA,3,1
477420213335,2164942,AAAA,3,1
477420213341,19296516,AAAA,5,1
477420213346,22815930,AAAA,3,1
477420213353,1629163,AAAA,3,1
477420213356,6757213,AAAA,4,1
477420213365,3225966,AAAA,5,1
477420213371,8078242,AAAA,5,1
477420213375,5626850,AAAA,5,1
477420213377,9936880,AAAA,5,1
477420213378,28244935,AAAA,5,1
477420213379,5010246,AAAA,3,1
477420213390,1461535,AAAA,10,1
477420213393,11178645,AAAA,3,1
477420213399,9785133,AAAA,5,1
477420213400,7258823,AAAA,3,1
477420213401,3587941,AAAA,3,1
477420213402,23731000,AAAA,3,1
477420213403,4159139,AAAA,3,1
477420213407,5163144,AAAA,3,1
477420213408,1909670,AAAA,5,1
477420213411,26586574,AAAA,3,1
477420213412,2494321,AAAA,3,1
477420213435,2414754,AAAA,3,1
477420213436,2735325,AAAA,5,1
477420213437,2655999,AAAA,5,1
477420213438,3493063,AAAA,5,1
477420213441,10070174,AAAA,4,1
477420213446,3401493,AAAA,5,1
477420213447,3462213,AAAA,5,1
477420213449,11653146,AAAA,3,1
477420213451,10831037,AAAA,15,1
477420213453,5832487,AAAA,3,1
477420213454,3044162,AAAA,3,1
477420213463,4668266,AAAA,3,1
477420213468,17706426,AAAA,4,1
477420213485,4736491,AAAA,3,1
477420213492,3024792,AAAA,5,1
477420213493,5556060,AAAA,15,1
477420213494,16528714,AAAA,3,1
477420213501,16912951,AAAA,3,1
477420213505,2803194,AAAA,5,1
477420213506,4175846,AAAA,5,1
477420213507,7859816,AAAA,10,1
477420213510,2295412,AAAA,3,1
477420213511,1967818,AAAA,3,1
477420213514,4107181,AAAA,3,1
477420213518,4569736,AAAA,5,1
477420213519,6424809,AAAA,3,1
477420213522,2968719,AAAA,5,1
477420213527,2835149,AAAA,3,1
477420213528,2637339,AAAA,3,1
477420213530,2832856,AAAA,5,1
477420213532,3666949,AAAA,3,1
477420213538,2129461,AAAA,3,1
477420213539,5089354,AAAA,5,1
477420213540,2127602,AAAA,5,1
477420213543,8032096,AAAA,3,1
477420213544,5817181,AAAA,3,1
477420213553,13925546,AAAA,6,1
477420213557,5007572,AAAA,5,1
477420213561,2587018,AAAA,5,1
477420213562,7263708,AAAA,5,1
477420213572,6017712,AAAA,5,1
477420213574,5797223,AAAA,6,1
477420213577,6680903,AAAA,3,1
477420213578,13412379,AAAA,5,1
477420213579,11684679,AAAA,5,1
477420213580,11314387,AAAA,3,1
477420213588,2523673,AAAA,3,1
477420213589,9630543,AAAA,5,1
477420213593,2761480,AAAA,6,1
477420213595,5319859,AAAA,5,1
477420213597,3764857,AAAA,6,1
477420213602,2121258,AAAA,1,1
477420213612,11117449,AAAA,3,1
