acc_no,wrng_mode_cd,span,wire_knd_cd,wire_spec_cd,wire_lico,newi_knd_cd,newi_spec_cd
477420193243,13,44,OW,22.0,1,AL,58.0
477420193243,13,33,C2,25.0,1,ZZ,0.0
477420193243,13,41,OW,22.0,1,AL,58.0
477420193243,13,43,C2,25.0,1,ZZ,0.0
477420193243,13,50,C2,25.0,1,ZZ,0.0
477420193243,13,50,C2,25.0,1,ZZ,0.0
477420193349,13,28,AO,35.0,1,AL,58.0
477420193349,13,39,AO,35.0,1,AL,32.0
477420193349,13,61,AO,35.0,1,AL,32.0
477420193349,13,35,AO,35.0,1,AL,32.0
477420193827,13,53,AO,35.0,1,AL,32.0
477420193827,13,37,AO,35.0,1,AL,32.0
477420193827,13,57,AO,35.0,1,AL,32.0
477420194090,13,27,AO,35.0,1,AL,58.0
477420194090,13,38,AO,35.0,1,AL,32.0
477420194090,13,51,AO,35.0,1,AL,32.0
477420194090,13,49,AO,35.0,1,AL,32.0
477420194090,13,47,AO,35.0,1,AL,32.0
477420194090,13,41,AO,35.0,1,AL,32.0
477420194090,13,57,AO,35.0,1,AL,32.0
477420194090,13,54,AO,35.0,1,AL,32.0
477420194090,13,55,AO,35.0,1,AL,32.0
477420194090,13,55,AO,35.0,1,AL,32.0
477420194090,13,42,AO,35.0,1,AL,32.0
477420194090,13,37,AO,35.0,1,AL,32.0
477420194090,13,39,AO,35.0,1,AL,32.0
477420203270,13,21,C2,25.0,1,ZZ,0.0
477420203272,13,42,OW,22.0,1,WO,22.0
477420203272,13,29,OW,22.0,1,WO,22.0
477420203306,13,62,OW,22.0,1,WO,22.0
477420203306,13,43,OW,22.0,1,AL,58.0
477420203306,13,10,OW,22.0,1,WO,22.0
477420203444,13,63,AO,35.0,1,AL,32.0
477420203582,13,54,C2,25.0,1,ZZ,0.0
477420203582,13,62,C2,25.0,1,ZZ,0.0
477420203582,13,16,C2,25.0,1,ZZ,0.0
477420203582,13,38,C2,25.0,1,ZZ,0.0
477420203601,13,57,OW,22.0,1,AL,58.0
477420203601,13,38,OW,22.0,1,AL,58.0
477420203601,13,57,OW,22.0,1,AL,58.0
477420203601,13,63,OW,22.0,1,AL,58.0
477420203601,13,34,OW,22.0,1,WO,22.0
477420203601,13,25,OW,22.0,1,WO,22.0
477420203607,13,30,C2,25.0,1,ZZ,0.0
477420203624,13,36,OW,22.0,1,WO,22.0
477420203624,13,49,OW,22.0,1,AL,58.0
477420203624,13,55,OW,22.0,1,WO,22.0
477420203624,13,48,OW,22.0,1,AL,58.0
477420203624,13,60,OW,22.0,1,AL,58.0
477420203628,13,48,AO,35.0,1,AL,58.0
477420203628,13,58,AO,35.0,1,AL,58.0
477420203661,43,20,C4,25.0,1,ZZ,0.0
477420203712,13,31,C2,25.0,1,ZZ,0.0
477420203712,13,30,C2,25.0,1,ZZ,0.0
477420203712,13,38,C2,25.0,1,ZZ,0.0
477420203712,13,64,C2,25.0,1,ZZ,0.0
477420203712,13,45,AO,35.0,1,AL,32.0
477420203712,13,38,AO,35.0,1,AL,32.0
477420203717,13,39,C2,25.0,1,ZZ,0.0
477420203717,13,18,C2,25.0,1,ZZ,0.0
477420203753,13,42,AO,35.0,1,AL,58.0
477420203753,13,49,AO,35.0,1,AL,58.0
477420203753,13,58,AO,35.0,1,AL,58.0
477420203753,13,52,C2,25.0,1,ZZ,0.0
477420203753,13,43,C2,25.0,1,ZZ,0.0
477420203753,13,54,C2,25.0,1,ZZ,0.0
477420203753,13,34,C2,25.0,1,ZZ,0.0
477420203753,13,47,C2,25.0,1,ZZ,0.0
477420203755,13,33,OW,22.0,1,AL,58.0
477420203755,13,42,AO,35.0,1,AL,58.0
477420203783,13,28,AO,35.0,1,AL,32.0
477420203783,13,52,AO,35.0,1,AL,32.0
477420203783,13,37,AO,35.0,1,AL,32.0
477420203783,13,41,AO,35.0,1,AL,32.0
477420203783,13,42,AO,35.0,1,AL,32.0
477420203783,13,40,AO,35.0,1,AL,32.0
477420203788,13,19,OW,22.0,1,WO,22.0
477420203788,13,54,OW,22.0,1,AL,95.0
477420203808,13,79,D2,3.2,1,ZZ,0.0
477420203808,13,45,D2,3.2,1,ZZ,0.0
477420203808,13,45,D2,3.2,1,ZZ,0.0
477420203808,13,49,D2,3.2,1,ZZ,0.0
477420203808,13,41,D2,3.2,1,ZZ,0.0
477420203808,13,34,D2,3.2,1,ZZ,0.0
477420203820,13,35,AO,35.0,1,AL,32.0
477420203821,43,20,OW,22.0,3,WO,22.0
477420203825,43,27,C4,25.0,1,ZZ,0.0
477420203826,43,56,AO,35.0,3,AL,32.0
477420203826,43,50,AO,35.0,3,AL,32.0
477420203826,43,49,C4,25.0,1,ZZ,0.0
477420203826,43,44,C4,25.0,1,ZZ,0.0
477420203826,43,42,C4,25.0,1,ZZ,0.0
477420203826,43,50,AO,35.0,3,AL,32.0
477420203831,13,28,C2,25.0,1,ZZ,0.0
477420203831,13,66,C2,25.0,1,ZZ,0.0
477420203833,13,37,AO,35.0,1,AL,95.0
477420203833,13,35,AO,35.0,1,AL,32.0
477420203833,13,34,AO,35.0,1,AL,32.0
477420203838,13,30,AO,35.0,1,AL,32.0
477420203839,13,30,OW,22.0,1,WO,22.0
477420203845,13,43,AO,35.0,1,AL,32.0
477420203845,13,46,AO,35.0,1,AL,32.0
477420203859,43,38,OW,38.0,3,WO,38.0
477420203859,13,32,OW,22.0,1,OW,22.0
477420203859,13,43,OW,22.0,1,OW,22.0
477420203859,13,25,OW,22.0,1,WO,22.0
477420203860,13,42,AO,35.0,1,AL,95.0
477420203860,13,38,AO,35.0,1,AL,32.0
477420203860,13,35,AO,35.0,1,AL,32.0
477420203860,13,35,AO,35.0,1,AL,32.0
477420203860,13,26,C2,25.0,1,ZZ,0.0
477420203862,13,38,C2,25.0,1,ZZ,0.0
477420203862,13,45,C2,25.0,1,ZZ,0.0
477420203862,13,42,C2,25.0,1,ZZ,0.0
477420203875,13,41,OW,22.0,1,WO,22.0
477420203878,13,15,AO,35.0,1,AL,32.0
477420203901,13,22,AO,35.0,1,AL,32.0
477420203985,13,10,AO,35.0,1,AL,32.0
477420203985,13,46,AO,35.0,1,AL,58.0
477420203985,13,52,AO,35.0,1,AL,58.0
477420203985,13,47,AO,35.0,1,AL,58.0
477420203985,13,49,AO,35.0,1,AL,58.0
477420203989,13,80,AO,35.0,1,AL,32.0
477420203989,13,34,AO,35.0,1,AL,32.0
477420203993,13,55,AO,35.0,1,AL,32.0
477420204001,43,29,C4,25.0,1,ZZ,0.0
477420204001,43,37,C4,25.0,1,ZZ,0.0
477420204001,43,56,C4,25.0,1,ZZ,0.0
