acc_no,pole_form_cd,pole_knd_cd,pole_spec_cd
477420193243,O,C,14.0
477420193243,O,C,10.0
477420193243,O,C,14.0
477420193243,O,C,14.0
477420193243,O,C,14.0
477420193243,O,C,14.0
477420193349,O,H,14.0
477420193349,O,H,14.0
477420193349,O,H,16.0
477420193349,O,H,16.0
477420193349,O,C,12.0
477420193349,O,C,12.0
477420193349,O,C,12.0
477420193349,G,C,10.0
477420193827,O,C,10.0
477420193827,O,C,10.0
477420193827,O,C,10.0
477420194090,O,H,14.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420194090,O,C,10.0
477420203270,O,C,10.0
477420203272,O,C,10.0
477420203272,O,C,10.0
477420203306,O,H,14.0
477420203306,O,H,16.0
477420203306,O,H,16.0
477420203306,O,C,10.0
477420203444,O,C,12.0
477420203447,O,H,16.0
477420203582,O,C,12.0
477420203601,O,C,12.0
477420203601,O,C,10.0
477420203607,O,C,10.0
477420203624,O,H,14.0
477420203624,O,H,14.0
477420203624,O,H,14.0
477420203624,O,H,16.0
477420203628,G,H,14.0
477420203628,O,H,14.0
477420203628,O,H,14.0
477420203628,O,H,14.0
477420203628,O,H,16.0
477420203628,O,H,14.0
477420203628,G,C,12.0
477420203628,O,H,14.0
477420203628,O,H,14.0
477420203628,G,C,12.0
477420203628,O,H,14.0
477420203661,O,C,10.0
477420203664,O,C,10.0
477420203712,G,C,12.0
477420203712,O,C,10.0
477420203712,O,C,10.0
477420203712,G,C,10.0
477420203712,O,C,10.0
477420203712,O,C,10.0
477420203712,O,C,10.0
477420203717,O,C,12.0
477420203717,O,C,10.0
477420203753,O,H,14.0
477420203753,O,H,14.0
477420203753,O,H,14.0
477420203753,O,C,10.0
477420203753,O,C,10.0
477420203753,O,H,14.0
477420203753,O,C,10.0
477420203753,O,C,10.0
477420203755,O,H,16.0
477420203755,O,H,16.0
477420203783,O,C,10.0
477420203783,O,C,10.0
477420203783,O,C,10.0
477420203783,O,C,10.0
477420203783,O,C,10.0
477420203783,O,C,10.0
477420203788,O,C,10.0
477420203790,O,C,12.0
477420203808,O,H,14.0
477420203820,O,C,12.0
477420203821,O,C,12.0
477420203825,O,C,12.0
477420203826,O,C,12.0
477420203826,O,C,10.0
477420203826,O,C,12.0
477420203826,O,C,12.0
477420203826,O,C,12.0
477420203826,O,C,12.0
477420203831,G,C,10.0
477420203831,O,C,10.0
477420203831,O,C,10.0
477420203833,O,C,10.0
477420203833,O,C,10.0
477420203838,O,C,10.0
477420203839,O,C,12.0
477420203842,O,H,14.0
477420203845,O,H,14.0
477420203845,O,H,14.0
477420203845,O,H,14.0
477420203845,G,C,12.0
477420203845,O,H,14.0
477420203845,O,H,14.0
477420203845,O,C,12.0
477420203845,O,C,12.0
477420203845,O,H,14.0
477420203858,O,C,12.0
477420203859,O,H,14.0
477420203859,O,C,12.0
477420203860,O,C,12.0
477420203860,O,C,12.0
477420203860,O,C,10.0
477420203860,O,C,10.0
477420203862,O,H,16.0
477420203862,O,H,16.0
477420203875,O,C,10.0
477420203878,O,C,12.0
477420203901,O,C,10.0
477420203910,O,C,10.0
477420203985,O,C,12.0
477420203985,O,H,14.0
477420203985,O,H,14.0
477420203985,O,H,14.0
477420203985,O,H,14.0
477420203989,O,C,12.0
477420203989,O,C,10.0
477420203993,O,C,12.0
477420204001,O,C,12.0
477420204001,O,C,10.0
477420204001,O,C,10.0
477420204001,O,C,12.0
477420204001,O,C,10.0
477420204001,O,C,10.0
477420204013,O,C,10.0
477420204015,O,C,10.0
477420204016,O,C,10.0
477420204016,O,C,10.0
477420204016,O,C,10.0
477420204019,O,H,16.0
477420204027,O,C,12.0
477420204030,O,C,12.0
477420204030,O,C,12.0
477420204037,O,H,16.0
477420204037,O,H,16.0
477420204040,O,H,16.0
477420204040,G,C,14.0
477420204040,O,C,12.0
477420204040,O,C,12.0
