acc_no,sl_type_cd,sl_spec_cd,sl_span,sl_lico
477420193243,D2,3.2,15,1
477420193349,D2,3.2,5,1
477420193349,D2,3.2,7,1
477420193827,D2,3.2,10,1
477420194090,D2,3.2,18,1
477420203270,D2,3.2,8,1
477420203272,D2,3.2,15,1
477420203306,C2,25.0,22,1
477420203444,D2,3.2,14,1
477420203447,D2,3.2,10,1
477420203582,D2,3.2,11,1
477420203601,D2,3.2,10,1
477420203607,D2,3.2,7,1
477420203624,D2,3.2,10,1
477420203624,D2,3.2,14,1
477420203628,D2,3.2,10,1
477420203661,D4,3.2,2,1
477420203664,D4,3.2,10,1
477420203712,D2,3.2,11,1
477420203717,C2,25.0,13,1
477420203717,D2,3.2,15,1
477420203753,D2,3.2,9,1
477420203755,D2,3.2,18,1
477420203783,D2,3.2,12,1
477420203788,D2,3.2,17,1
477420203790,D2,3.2,20,1
477420203808,D2,3.2,13,1
477420203820,D2,3.2,17,1
477420203821,C4,10.0,15,1
477420203825,D4,3.2,5,1
477420203826,D4,3.2,11,1
477420203831,D2,3.2,15,1
477420203833,D2,3.2,5,1
477420203838,D2,3.2,10,1
477420203839,D2,3.2,25,1
477420203842,C4,25.0,11,1
477420203845,D2,3.2,9,1
477420203845,D2,3.2,10,1
477420203858,D2,3.2,13,1
477420203859,D2,3.2,23,1
477420203859,D2,3.2,20,1
477420203859,D2,3.2,19,1
477420203859,D2,3.2,15,1
477420203860,D2,3.2,11,1
477420203862,D2,3.2,10,1
477420203875,D2,3.2,12,1
477420203878,D2,3.2,7,1
477420203901,D2,3.2,6,1
477420203910,D2,3.2,9,1
477420203985,D2,3.2,10,1
477420203989,D2,3.2,8,1
477420203993,D2,3.2,13,1
477420204001,D4,3.2,12,1
477420204013,D2,3.2,5,1
477420204015,D2,3.2,10,1
477420204016,D2,3.2,10,1
477420204019,C2,25.0,5,1
477420204027,D2,3.2,26,1
477420204030,D2,3.2,5,1
477420204037,C4,25.0,13,1
477420204037,C4,25.0,10,1
477420204040,C4,25.0,9,1
477420204053,D2,3.2,20,1
477420204068,D2,3.2,29,1
477420204085,D2,3.2,15,1
477420204092,D2,3.2,17,1
477420204093,D2,3.2,8,1
477420204096,D2,3.2,13,1
477420204098,D2,3.2,8,1
477420204108,D2,3.2,7,1
477420204109,D2,3.2,5,1
477420204111,C4,25.0,10,1
477420204117,D4,3.2,13,1
477420204117,D4,3.2,13,1
477420204120,D2,3.2,9,1
477420204121,D2,3.2,10,1
477420204122,D2,3.2,27,1
477420204123,D2,3.2,9,1
477420204124,D2,3.2,13,1
477420204130,D2,3.2,10,1
477420204131,D2,3.2,7,1
477420204133,D2,3.2,5,1
477420204141,C2,25.0,10,1
477420204142,D2,3.2,25,1
477420204144,D2,3.2,9,1
477420204146,D2,3.2,10,1
477420204153,D2,3.2,8,1
477420204165,D2,3.2,8,1
477420204166,D2,3.2,13,1
477420204168,D2,3.2,15,1
477420204169,D4,3.2,10,1
477420204187,D2,3.2,17,1
477420204192,D2,3.2,10,1
477420204193,C4,10.0,19,1
477420204194,D2,3.2,7,1
477420204197,D2,3.2,16,1
477420204209,D4,3.2,8,1
477420204211,D2,3.2,11,1
477420204212,D2,3.2,13,1
477420204212,D2,3.2,4,1
477420204212,D2,3.2,4,1
477420204212,D2,3.2,6,1
477420204212,D2,3.2,8,1
477420204214,D2,3.2,7,1
477420204214,D2,3.2,7,1
477420204214,D2,3.2,10,1
477420204214,D2,3.2,10,1
477420204219,D2,3.2,5,1
477420204227,D2,3.2,7,1
477420204227,D2,3.2,13,1
477420204227,D2,3.2,8,1
477420204229,D2,3.2,8,1
477420204229,D2,3.2,5,1
477420204229,D2,3.2,7,1
477420204229,D2,3.2,5,1
477420204229,D2,3.2,5,1
477420204244,D2,3.2,7,1
477420204244,D2,3.2,10,1
477420204244,D2,3.2,5,1
477420204244,D2,3.2,5,1
477420204255,D2,3.2,5,1
477420204256,D2,3.2,20,1
477420204256,D2,3.2,5,1
477420204260,D2,3.2,12,1
477420204263,D2,3.2,10,1
477420204263,C2,25.0,14,1
477420204266,D2,3.2,5,1
477420204269,D2,3.2,5,1
477420204278,D4,3.2,5,1
477420204279,D2,3.2,5,1
477420204281,D2,3.2,15,1
477420204282,D2,3.2,15,1
477420204284,D2,3.2,16,1
477420204310,D2,3.2,11,1
477420204310,D2,3.2,9,1
477420204315,C4,25.0,15,1
477420204317,C4,70.0,11,1
477420204318,D2,3.2,22,1
477420204323,D2,3.2,7,1
477420204326,D2,3.2,5,1
477420204327,D2,3.2,10,1
477420204328,D2,3.2,10,1
477420204328,D2,3.2,5,1
477420204331,D2,3.2,10,1
477420204333,D2,3.2,15,1
477420204337,D2,3.2,10,1
477420213004,D2,3.2,15,1
477420213016,D2,3.2,30,1
477420213018,C4,10.0,10,1
477420213019,D2,3.2,8,1
477420213029,D2,3.2,9,1
477420213041,D2,3.2,5,1
477420213056,D2,3.2,16,1
477420213068,D2,3.2,5,1
477420213088,D2,3.2,5,1
477420213093,D2,3.2,5,1
477420213097,D2,3.2,12,1
477420213098,D2,3.2,5,1
477420213101,D2,3.2,7,1
477420213104,D2,3.2,10,1
477420213138,D2,3.2,7,1
477420213139,D2,3.2,20,1
477420213140,D2,3.2,3,1
477420213141,D4,3.2,7,1
477420213162,D2,3.2,17,1
477420213163,D2,3.2,13,1
477420213164,D2,3.2,24,1
477420213182,D2,3.2,12,1
477420213192,D2,3.2,12,1
477420213193,D2,3.2,14,1
477420213195,D2,3.2,9,1
477420213196,D2,3.2,14,1
477420213199,D2,3.2,17,1
477420213206,D2,3.2,8,1
477420213212,D2,3.2,7,1
477420213216,D2,3.2,5,1
477420213220,D2,3.2,17,1
477420213227,D2,3.2,10,1
477420213227,D2,3.2,15,1
477420213228,D2,3.2,5,1
477420213232,D2,3.2,9,1
477420213233,D2,3.2,15,1
477420213239,D2,3.2,7,1
477420213250,D2,3.2,9,1
477420213251,D2,3.2,14,1
477420213252,D2,3.2,10,1
477420213260,D2,3.2,10,1
477420213261,D2,3.2,13,1
477420213264,D2,3.2,16,1
477420213264,D2,3.2,1,1
477420213265,D2,3.2,22,1
477420213266,D2,3.2,13,1
477420213276,D2,3.2,10,1
477420213277,D2,3.2,10,1
477420213284,D2,3.2,5,1
477420213285,D2,3.2,13,1
477420213298,D2,3.2,5,1
477420213299,D2,3.2,7,1
477420213300,D2,3.2,16,1
477420213301,D2,3.2,15,1
477420213302,D2,3.2,3,1
477420213320,D2,3.2,8,1
477420213322,D2,3.2,10,1
477420213323,D2,3.2,5,1
477420213324,D2,3.2,6,1
477420213325,D2,3.2,23,1
477420213326,D2,3.2,10,1
477420213327,D2,3.2,17,1
477420213331,D2,3.2,15,1
477420213335,D2,3.2,5,1
477420213341,D2,3.2,11,1
477420213346,D2,3.2,19,1
477420213353,D2,3.2,8,1
477420213356,D2,3.2,20,1
477420213371,D2,3.2,35,1
477420213375,D2,3.2,10,1
477420213377,D4,3.2,6,1
477420213378,C4,10.0,10,1
477420213379,D2,3.2,10,1
477420213390,C2,10.0,5,1
477420213393,D2,3.2,17,1
477420213399,D2,3.2,5,1
